supermarket,raw_text,raw_category,standardized_category,scraped_date,product_url
RedMart,"6% OFF
$2.20
$2.35
Candy Apple
500 g
5D
4.8
(3.3k)
$0.44/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i304240132-s538424480.html?fs_ab=2&priceCompare=skuId%3A538424480%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A220%3BdisplayPrice%3A220%3BsinglePromotionId%3A91471632256936%3BsingleToolCode%3AsingleBuy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.858834244080145&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=124091&price=2.2&review=3294&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"34% OFF
$8.51
$12.95
RedMart Green Seedless Grapes (Airflown) Australia/USA
500 g
3D
4.6
(1.3k)
$1.70/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i1180264698-s4696294810.html?fs_ab=2&priceCompare=skuId%3A4696294810%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A851%3BdisplayPrice%3A851%3BsinglePromotionId%3A91471727676726%3BsingleToolCode%3AsingleBuy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.652434456928839&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=86867&price=8.51&review=1335&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"Buy 2 For $8.95
$6.95
Driscoll's Premium Select Jumbo Blueberries 125g
125 g
2D
4.9
(2.6k)
$5.56/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i2740514363-s18577153162.html?fs_ab=2&priceCompare=skuId%3A18577153162%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A695%3BdisplayPrice%3A695%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.910086890819796&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=194210&price=6.95&review=2647&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"SAVE $7.99
$9.96
$17.95
Premium Korean Strawberries 330 G
330 g
3D
4.8
(499)
$3.02/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i303234617-s536556269.html?fs_ab=2&priceCompare=skuId%3A536556269%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A996%3BdisplayPrice%3A996%3BsinglePromotionId%3A91471729011218%3BsingleToolCode%3AsingleBuy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.811623246492986&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=27199&price=9.96&review=499&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"SAVE $4.45
$4.50
$8.95
Australia Yellow Peaches
500 g
3D
4.5
(856)
$0.90/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i351530236-s817622884.html?fs_ab=2&priceCompare=skuId%3A817622884%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A450%3BdisplayPrice%3A450%3BsinglePromotionId%3A91471634867030%3BsingleToolCode%3AflashSale%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.546728971962617&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=36309&price=4.5&review=856&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"10% OFF
$6.25
$6.95
RedMart Pink Lady Apples
1 kg
6D
4.6
(1.4k)
$0.63/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i303974837-s538082891.html?fs_ab=2&priceCompare=skuId%3A538082891%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A625%3BdisplayPrice%3A625%3BsinglePromotionId%3A91471632269928%3BsingleToolCode%3AsingleBuy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.637660485021398&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=127671&price=6.25&review=1402&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"$5.90
Honeydew Melon
1500 g
3D
4.5
(1.8k)
$0.39/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i303232772-s536566348.html?fs_ab=2&priceCompare=skuId%3A536566348%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A590%3BdisplayPrice%3A590%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.527852893455922&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=74630&price=5.9&review=1849&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"SAVE $1.34
$7.61
$8.95
Organic Fuji Apple
1 kg
5D
4.9
(360)
$0.76/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i520084174-s1455022568.html?fs_ab=2&priceCompare=skuId%3A1455022568%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A761%3BdisplayPrice%3A761%3BsinglePromotionId%3A91471634867030%3BsingleToolCode%3AflashSale%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.9&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=23801&price=7.61&review=360&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"11% OFF
$7.96
$8.95
Mexico/USA Hass Avocado 4 pcs (Airflown)
450 g
4D
4.6
(4.2k)
$1.77/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i301100809-s527084959.html?fs_ab=2&priceCompare=skuId%3A527084959%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A796%3BdisplayPrice%3A796%3BsinglePromotionId%3A91471630954049%3BsingleToolCode%3AsingleBuy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.637910659418577&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=325687&price=7.96&review=4231&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"$4.25
Sunpride Honey Pineapples
1.4 kg
8D
4.7
(2.3k)
$0.30/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i301078942-s527100903.html?fs_ab=2&priceCompare=skuId%3A527100903%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A425%3BdisplayPrice%3A425%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.743237250554324&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=120748&price=4.25&review=2255&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
